"site","year","mesocosm","taxon_code","logN","logM","phosphorus","mean_temp_12M"
"EV","2016","M01","cmrium",2.51851393987789,-3.40586242725045,0.039,15.9871631072991
"EV","2016","M01","nitz",2.51851393987789,-4.62124663899239,0.039,15.9871631072991
"EV","2016","M01","oedo",3.77334754198082,-2.86526029880845,0.039,15.9871631072991
"EV","2016","M01","pdcinc",2.81888541459401,-2.70170953515133,0.039,15.9871631072991
"EV","2016","M01","ptbor",3.9804578922761,-4.23895531458868,0.039,15.9871631072991
"EV","2016","M01","sdesmus",2.51851393987789,-3.67731153291549,0.039,15.9871631072991
"EV","2016","M01","trhisp",3.29622628726116,-3.09105345871307,0.039,15.9871631072991
"EV","2016","M01","kecoc",1.79934054945358,-2.6022718742067,0.039,15.9871631072991
"EV","2016","M01","lepat",2.91907809237607,-2.15233699662565,0.039,15.9871631072991
"EV","2016","M01","cecat",0.845098040014257,-2.18708825928375,0.039,15.9871631072991
"EV","2016","M01","bdell",1,-1.23918731049657,0.039,15.9871631072991
"EV","2016","M01","pladu",0,-0.259435092101018,0.039,15.9871631072991
"EV","2016","M01","trpra_n",2.05307844348342,-1.82424687226454,0.039,15.9871631072991
"EV","2016","M01","trpra_c",0.301029995663981,-0.2348376724801,0.039,15.9871631072991
"EV","2016","M01","clodip",-0.354842569517225,2.91090029934112,0.039,15.9871631072991
"EV","2016","M01","symsan",-0.682201503903555,3.65769293748797,0.039,15.9871631072991
"EV","2016","M01","orthoc_l",-0.471348138588662,1.67929774303014,0.039,15.9871631072991
"EV","2016","M01","chiron_l",-0.138133459553279,2.42694805623531,0.039,15.9871631072991
"EV","2016","M01","chlor",3.87978378009042,-4.96464468113386,0.039,15.9871631072991
"EV","2016","M01","adis",3.86051767746175,-4.3861335665592,0.039,15.9871631072991
"EV","2016","M01","anab",4.28151060149266,-4.70524122759581,0.039,15.9871631072991
"EV","2016","M01","btbra",4.4170562991374,-3.73088670453187,0.039,15.9871631072991
"EV","2016","M03","adis",2.81888541459401,-4.3861335665592,0.551,15.9871631072991
"EV","2016","M03","apaph",4.68124123737559,-4.96693830746183,0.551,15.9871631072991
"EV","2016","M03","chlam",2.77815125038364,-4.28192101653215,0.551,15.9871631072991
"EV","2016","M03","chlor",3.89209460269048,-4.96464468113386,0.551,15.9871631072991
"EV","2016","M03","cmbotr",3.85733249643127,-3.11592966408325,0.551,15.9871631072991
"EV","2016","M03","cterium",3.07918124604762,-2.75249991392239,0.551,15.9871631072991
"EV","2016","M03","epit",2.77815125038364,-5.5923390590551,0.551,15.9871631072991
"EV","2016","M03","eucoe",2.99519629159718,-3.14602082896117,0.551,15.9871631072991
"EV","2016","M03","fragil",3.25527250510331,-4.56764168226972,0.551,15.9871631072991
"EV","2016","M03","lepto",3.29622628726116,-5.60645936272816,0.551,15.9871631072991
"EV","2016","M03","lyng",3.38021124171161,-4.89579868638903,0.551,15.9871631072991
"EV","2016","M03","nitz",3.07918124604762,-4.62124663899239,0.551,15.9871631072991
"EV","2016","M03","oedo",4.40140054078154,-2.9716114541219,0.551,15.9871631072991
"EV","2016","M03","oolacu",5.18708620906245,-4.12332339785789,0.551,15.9871631072991
"EV","2016","M03","cmpunc",3.25527250510331,-2.74398647009792,0.551,15.9871631072991
"EV","2016","M03","cmrium",3.38021124171161,-3.40586242725045,0.551,15.9871631072991
"EV","2016","M03","cryero",3.47712125471966,-3.98522697504954,0.551,15.9871631072991
"EV","2016","M03","cryp",3.47712125471966,-3.90013462118009,0.551,15.9871631072991
"EV","2016","M03","ptbor",4.33445375115093,-4.52794971250372,0.551,15.9871631072991
"EV","2016","M03","pvpus",3.68124123737559,-3.58298953397622,0.551,15.9871631072991
"EV","2016","M03","rpgib",2.77815125038364,-5.53939209613738,0.551,15.9871631072991
"EV","2016","M03","sceco",3.38021124171161,-5.08327368066247,0.551,15.9871631072991
"EV","2016","M03","spiro",4.42160392686983,-2.25517622823383,0.551,15.9871631072991
"EV","2016","M03","spschr",4.04956686916465,-5.37497840927467,0.551,15.9871631072991
"EV","2016","M03","tnema",4.43136376415899,-4.18376069435074,0.551,15.9871631072991
"EV","2016","M03","trhisp",2.81888541459401,-3.09105345871307,0.551,15.9871631072991
"EV","2016","M03","zygma",3.98227123303957,-3.09177205558588,0.551,15.9871631072991
"EV","2016","M03","kecoc",1.91907809237607,-2.66108707064041,0.551,15.9871631072991
"EV","2016","M03","ketec",0.477121254719662,-2.85514288380036,0.551,15.9871631072991
"EV","2016","M03","lepat",1.95424250943932,-2.15420842133302,0.551,15.9871631072991
"EV","2016","M03","leclo",0.477121254719662,-2.14988373263826,0.551,15.9871631072991
"EV","2016","M03","dalon",0,0.803724959170802,0.551,15.9871631072991
"EV","2016","M03","sivet",0,-0.418954571959441,0.551,15.9871631072991
"EV","2016","M03","ceret",0.954242509439325,-0.337050854465439,0.551,15.9871631072991
"EV","2016","M03","chsph",0.778151250383644,-0.289341755249916,0.551,15.9871631072991
"EV","2016","M03","pladu",0.301029995663981,0.236090373171641,0.551,15.9871631072991
"EV","2016","M03","euser_n",1.23044892137827,-0.851527202422921,0.551,15.9871631072991
"EV","2016","M03","euser_c",0.301029995663981,-0.159158212395765,0.551,15.9871631072991
"EV","2016","M03","euser_a",0,0.533210777631392,0.551,15.9871631072991
"EV","2016","M03","chiron_l",-0.740193450881242,2.63320680003622,0.551,15.9871631072991
"EV","2016","M03","plnann",4.8234742291703,-5.326774801094,0.551,15.9871631072991
"EV","2016","M03","pdcinc",3.29622628726116,-2.70170953515133,0.551,15.9871631072991
"EV","2016","M03","pdumb",2.77815125038364,-3.95874332426086,0.551,15.9871631072991
"EV","2016","M03","pinnu",2.99519629159718,-3.76132051012243,0.551,15.9871631072991
"EV","2016","M05","dalon",0.477121254719662,0.712474921035812,1.449,15.9871631072991
"EV","2016","M05","euser_c",1.30102999566398,-0.236032850015749,1.449,15.9871631072991
"EV","2016","M05","euser_a",0.954242509439325,0.466631166958532,1.449,15.9871631072991
"EV","2016","M05","trpra_n",0.477121254719662,-1.63411446064585,1.449,15.9871631072991
"EV","2016","M05","trpra_a",0,-0.0447131617126135,1.449,15.9871631072991
"EV","2016","M05","tanypo_l",-0.740193450881242,2.15021537386335,1.449,15.9871631072991
"EV","2016","M05","orthoc_l",-0.205080249183892,1.30873343103724,1.449,15.9871631072991
"EV","2016","M05","coryno_l",-0.0170897668285035,1.09095361103973,1.449,15.9871631072991
"EV","2016","M05","eugl",2.76117581315573,-2.72194327197179,1.449,15.9871631072991
"EV","2016","M05","gnbreb",3.60616631460762,-3.49644763208661,1.449,15.9871631072991
"EV","2016","M05","sivet",0,-0.29026565681777,1.449,15.9871631072991
"EV","2016","M05","ceret",0.301029995663981,0.0407947362254011,1.449,15.9871631072991
"EV","2016","M05","algut",0,-0.295334111431341,1.449,15.9871631072991
"EV","2016","M05","euser_n",2,-0.928401840042905,1.449,15.9871631072991
"EV","2016","M05","anab",4.10353006342837,-5.66792751266957,1.449,15.9871631072991
"EV","2016","M05","cmbotr",3.46014581749175,-3.11592966408325,1.449,15.9871631072991
"EV","2016","M05","cmpunc",3.06220580881971,-3.06148190130305,1.449,15.9871631072991
"EV","2016","M05","coccus",3.66417170536193,-4.69528698413796,1.449,15.9871631072991
"EV","2016","M05","coeno",3.90725008288133,-5.30936098828403,1.449,15.9871631072991
"EV","2016","M05","ctmon",3.06220580881971,-2.76102484969118,1.449,15.9871631072991
"EV","2016","M05","euele",2.76117581315573,-3.75888621509999,1.449,15.9871631072991
"EV","2016","M05","trver",0.477121254719662,-1.78269775747933,1.449,15.9871631072991
"EV","2016","M05","tepat",2.43136376415899,-1.40486171895151,1.449,15.9871631072991
"EV","2016","M05","lepto",3.99158045717434,-5.60645936272816,1.449,15.9871631072991
"EV","2016","M05","mgtia",3.53932706353938,-2.36925406912002,1.449,15.9871631072991
"EV","2016","M05","nitpal",6.19312459835446,-4.78542149115099,1.449,15.9871631072991
"EV","2016","M05","nostoc",6.27486807890747,-5.33833539322441,1.449,15.9871631072991
"EV","2016","M05","trhisp",3.51811894714315,-3.09105345871307,1.449,15.9871631072991
"EV","2016","M05","trvol",2.51851393987789,-3.39486916651091,1.449,15.9871631072991
"EV","2016","M05","ululn",2.51851393987789,-3.49407663110326,1.449,15.9871631072991
"EV","2016","M05","kecoc",1.69897000433602,-2.66352971143167,1.449,15.9871631072991
